year,month,day,flow_cfs,Source
1979,1,1,1145.693288242234,Delta_Storage+USGS_14181500
1979,1,2,1136.2975295243875,Delta_Storage+USGS_14181500
1979,1,3,1420.4199940475462,Delta_Storage+USGS_14181500
1979,1,4,1241.4468301513311,Delta_Storage+USGS_14181500
1979,1,5,1045.0876625833266,Delta_Storage+USGS_14181500
1979,1,6,1047.9944290182489,Delta_Storage+USGS_14181500
1979,1,7,1022.1104375528801,Delta_Storage+USGS_14181500
1979,1,8,1085.029105603512,Delta_Storage+USGS_14181500
1979,1,9,953.3869858323195,Delta_Storage+USGS_14181500
1979,1,10,2618.257675845215,Delta_Storage+USGS_14181500
1979,1,11,2977.1276415405137,Delta_Storage+USGS_14181500
1979,1,12,2464.171718353374,Delta_Storage+USGS_14181500
1979,1,13,1990.9782071146055,Delta_Storage+USGS_14181500
1979,1,14,1947.4422412537242,Delta_Storage+USGS_14181500
1979,1,15,1626.4918890483361,Delta_Storage+USGS_14181500
1979,1,16,1487.3095197733924,Delta_Storage+USGS_14181500
1979,1,17,1375.3039487914798,Delta_Storage+USGS_14181500
1979,1,18,1343.5359658610355,Delta_Storage+USGS_14181500
1979,1,19,1371.1879402566947,Delta_Storage+USGS_14181500
1979,1,20,1448.8399146525155,Delta_Storage+USGS_14181500
1979,1,21,1454.6043949102386,Delta_Storage+USGS_14181500
1979,1,22,1417.0310949710915,Delta_Storage+USGS_14181500
1979,1,23,1362.727914841643,Delta_Storage+USGS_14181500
1979,1,24,1269.4551233573231,Delta_Storage+USGS_14181500
1979,1,25,1225.1519432275222,Delta_Storage+USGS_14181500
1979,1,26,1175.333568775311,Delta_Storage+USGS_14181500
1979,1,27,1190.8487630978975,Delta_Storage+USGS_14181500
1979,1,28,1164.3031801298155,Delta_Storage+USGS_14181500
1979,1,29,1016.7272085158709,Delta_Storage+USGS_14181500
1979,1,30,1046.5455829682583,Delta_Storage+USGS_14181500
1979,1,31,978.9696113544896,Delta_Storage+USGS_14181500
1979,2,1,1083.2727914841291,Delta_Storage+USGS_14181500
1979,2,2,1030.0,Delta_Storage+USGS_14181500
1979,2,3,1077.0911659365163,Delta_Storage+USGS_14181500
1979,2,4,1123.0911659366925,Delta_Storage+USGS_14181500
1979,2,5,1587.516606973925,Delta_Storage+USGS_14181500
1979,2,6,3200.066427896258,Delta_Storage+USGS_14181500
1979,2,7,9888.952693680092,Delta_Storage+USGS_14181500
1979,2,8,4991.47450024746,Delta_Storage+USGS_14181500
1979,2,9,5370.88644501327,Delta_Storage+USGS_14181500
1979,2,10,8082.953954999151,Delta_Storage+USGS_14181500
1979,2,11,10164.367940760312,Delta_Storage+USGS_14181500
1979,2,12,7912.4175510337745,Delta_Storage+USGS_14181500
1979,2,13,10002.696225816895,Delta_Storage+USGS_14181500
1979,2,14,6776.117542585527,Delta_Storage+USGS_14181500
1979,2,15,5123.109107567876,Delta_Storage+USGS_14181500
1979,2,16,3920.5731043391625,Delta_Storage+USGS_14181500
1979,2,17,3386.7559387829574,Delta_Storage+USGS_14181500
1979,2,18,3615.0287930887216,Delta_Storage+USGS_14181500
1979,2,19,3282.343862603163,Delta_Storage+USGS_14181500
1979,2,20,2886.5020960411766,Delta_Storage+USGS_14181500
1979,2,21,2606.864970208059,Delta_Storage+USGS_14181500
1979,2,22,2310.319261596824,Delta_Storage+USGS_14181500
1979,2,23,2111.7053394095146,Delta_Storage+USGS_14181500
1979,2,24,2456.3396586802446,Delta_Storage+USGS_14181500
