year,month,day,flow_cfs,Source
1979,10,1,142.979061273412,Data_Ranger
1979,10,2,141.114568006261,Data_Ranger
1979,10,3,139.798331712567,Data_Ranger
1979,10,4,133.460268340066,Data_Ranger
1979,10,5,133.598740089368,Data_Ranger
1979,10,6,133.795457787168,Data_Ranger
1979,10,7,133.551446842068,Data_Ranger
1979,10,8,129.697442791749,Data_Ranger
1979,10,9,130.980101505695,Data_Ranger
1979,10,10,130.923620654684,Data_Ranger
1979,10,11,129.240579599708,Data_Ranger
1979,10,12,128.663174718563,Data_Ranger
1979,10,13,130.413590370889,Data_Ranger
1979,10,14,140.741710081886,Data_Ranger
1979,10,15,154.553472372135,Data_Ranger
1979,10,16,150.028790503683,Data_Ranger
1979,10,17,173.458931443855,Data_Ranger
1979,10,18,186.295827610451,Data_Ranger
1979,10,19,305.287811654408,Data_Ranger
1979,10,20,306.335338455597,Data_Ranger
1979,10,21,269.180811782862,Data_Ranger
1979,10,22,259.383633256232,Data_Ranger
1979,10,23,329.916742166201,Data_Ranger
1979,10,24,332.550738123486,Data_Ranger
1979,10,25,486.070882207888,Data_Ranger
1979,10,26,460.572498087315,Data_Ranger
1979,10,27,641.56059904129,Data_Ranger
1979,10,28,749.789807900561,Data_Ranger
1979,10,29,641.30367499656,Data_Ranger
1979,10,30,530.140980622566,Data_Ranger
1979,10,31,472.745046760628,Data_Ranger
1979,11,1,408.69251632363,Data_Ranger
1979,11,2,380.052797666464,Data_Ranger
1979,11,3,374.991119721337,Data_Ranger
1979,11,4,369.175349450044,Data_Ranger
1979,11,5,391.760378501408,Data_Ranger
1979,11,6,361.674002814826,Data_Ranger
1979,11,7,352.03996490066,Data_Ranger
1979,11,8,329.037832208089,Data_Ranger
1979,11,9,322.077148782026,Data_Ranger
1979,11,10,299.886099025186,Data_Ranger
1979,11,11,290.061546227327,Data_Ranger
1979,11,12,289.302947150483,Data_Ranger
1979,11,13,276.160678455937,Data_Ranger
1979,11,14,269.285336169215,Data_Ranger
1979,11,15,265.857671710083,Data_Ranger
1979,11,16,279.153723722898,Data_Ranger
1979,11,17,310.799793659292,Data_Ranger
1979,11,18,357.544552468528,Data_Ranger
1979,11,19,347.58834142347,Data_Ranger
1979,11,20,327.628838511181,Data_Ranger
1979,11,21,323.96892494092,Data_Ranger
1979,11,22,334.671344936227,Data_Ranger
1979,11,23,418.374526244133,Data_Ranger
1979,11,24,404.102940108779,Data_Ranger
1979,11,25,412.344293093632,Data_Ranger
1979,11,26,395.564197242363,Data_Ranger
1979,11,27,377.19879329158,Data_Ranger
1979,11,28,363.885574315343,Data_Ranger
1979,11,29,340.541743649503,Data_Ranger
1979,11,30,339.148005092685,Data_Ranger
1979,12,1,356.244376210273,Data_Ranger
1979,12,2,802.10746154438,Data_Ranger
1979,12,3,717.884348880845,Data_Ranger
1979,12,4,2143.49454842739,Data_Ranger
1979,12,5,2029.9054898152,Data_Ranger
1979,12,6,1739.87502427634,Data_Ranger
1979,12,7,1720.17392789121,Data_Ranger
1979,12,8,1429.24287856696,Data_Ranger
1979,12,9,1459.17819013115,Data_Ranger
1979,12,10,1758.09113831327,Data_Ranger
1979,12,11,1428.94426556971,Data_Ranger
1979,12,12,1206.90072791786,Data_Ranger
1979,12,13,1223.37388389816,Data_Ranger
1979,12,14,2629.82976464298,Data_Ranger
1979,12,15,5241.52981136316,Data_Ranger
1979,12,16,5044.65190706027,Data_Ranger
1979,12,17,4780.25989960678,Data_Ranger
1979,12,18,7466.0574162074,Data_Ranger
1979,12,19,5136.36800552074,Data_Ranger
1979,12,20,4354.12239240313,Data_Ranger
1979,12,21,3155.91049602871,Data_Ranger
1979,12,22,2400.23533857785,Data_Ranger
1979,12,23,1717.29095319352,Data_Ranger
1979,12,24,1436.15513556011,Data_Ranger
1979,12,25,1306.2401610409,Data_Ranger
1979,12,26,1117.42502192041,Data_Ranger
1979,12,27,1005.10885530367,Data_Ranger
1979,12,28,963.76357645245,Data_Ranger
1979,12,29,884.199538872645,Data_Ranger
1979,12,30,779.366870140707,Data_Ranger
1979,12,31,731.747306494729,Data_Ranger
1980,1,1,817.352428007984,Data_Ranger
1980,1,2,830.570405227958,Data_Ranger
1980,1,3,827.676830416904,Data_Ranger
1980,1,4,753.453631443664,Data_Ranger
1980,1,5,724.318307505092,Data_Ranger
1980,1,6,687.723021204728,Data_Ranger
1980,1,7,649.003661332025,Data_Ranger
1980,1,8,642.824097101879,Data_Ranger
1980,1,9,584.305431214637,Data_Ranger
1980,1,10,572.116792918882,Data_Ranger
1980,1,11,578.361720282748,Data_Ranger
1980,1,12,1613.07305461798,Data_Ranger
1980,1,13,1557.15496691688,Data_Ranger
1980,1,14,1353.03504258331,Data_Ranger
1980,1,15,1170.73400591153,Data_Ranger
1980,1,16,1196.38981683581,Data_Ranger
1980,1,17,1342.78996180419,Data_Ranger
1980,1,18,1092.17494445915,Data_Ranger
1980,1,19,957.982603439264,Data_Ranger
1980,1,20,842.536212595422,Data_Ranger
1980,1,21,771.8412719097,Data_Ranger
1980,1,22,716.021338684374,Data_Ranger
1980,1,23,691.173887679594,Data_Ranger
1980,1,24,691.681526100073,Data_Ranger
1980,1,25,676.717927195419,Data_Ranger
1980,1,26,615.918983345495,Data_Ranger
1980,1,27,546.578016616074,Data_Ranger
1980,1,28,548.115894939092,Data_Ranger
1980,1,29,511.798967405944,Data_Ranger
1980,1,30,518.133227316682,Data_Ranger
1980,1,31,507.009321353885,Data_Ranger
1980,2,1,576.043538932389,Data_Ranger
1980,2,2,873.125334884093,Data_Ranger
1980,2,3,1317.45896767002,Data_Ranger
1980,2,4,1184.18651108625,Data_Ranger
1980,2,5,1227.60560053133,Data_Ranger
1980,2,6,1367.82689139628,Data_Ranger
1980,2,7,1649.65297426547,Data_Ranger
1980,2,8,1362.09811854043,Data_Ranger
1980,2,9,1189.42963403823,Data_Ranger
1980,2,10,1027.67373725911,Data_Ranger
1980,2,11,941.34810482631,Data_Ranger
1980,2,12,875.669329518844,Data_Ranger
1980,2,13,771.024678681387,Data_Ranger
1980,2,14,694.395531163304,Data_Ranger
1980,2,15,649.508866707956,Data_Ranger
1980,2,16,639.645118748373,Data_Ranger
1980,2,17,628.445407519454,Data_Ranger
1980,2,18,791.218361451927,Data_Ranger
1980,2,19,969.316603084112,Data_Ranger
1980,2,20,992.288395338454,Data_Ranger
1980,2,21,916.971346612018,Data_Ranger
1980,2,22,817.885010575571,Data_Ranger
1980,2,23,737.727905373149,Data_Ranger
1980,2,24,713.294163147795,Data_Ranger
1980,2,25,717.590174597793,Data_Ranger
1980,2,26,1464.91685848409,Data_Ranger
1980,2,27,3227.44007479574,Data_Ranger
1980,2,28,3987.84013761275,Data_Ranger
1980,2,29,3124.89693367579,Data_Ranger
1980,3,1,2116.41973001162,Data_Ranger
1980,3,2,1661.20916133214,Data_Ranger
1980,3,3,1494.49882920557,Data_Ranger
1980,3,4,1632.33531515853,Data_Ranger
1980,3,5,1494.596047034,Data_Ranger
1980,3,6,1332.54454533745,Data_Ranger
1980,3,7,1179.64681095654,Data_Ranger
1980,3,8,1104.44751558409,Data_Ranger
1980,3,9,1055.43137923692,Data_Ranger
1980,3,10,1103.72254592207,Data_Ranger
1980,3,11,1312.20414551744,Data_Ranger
1980,3,12,1186.78148244714,Data_Ranger
1980,3,13,1103.38612964903,Data_Ranger
1980,3,14,1059.21369204184,Data_Ranger
1980,3,15,979.424510954109,Data_Ranger
1980,3,16,886.461759209192,Data_Ranger
1980,3,17,956.519542727175,Data_Ranger
